time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-23 16:00:00,10.0,2.1,58.0,,,0.0,0.0,,,,
2020-10-23 17:00:00,14.0,-0.1,38.0,,,0.0,0.0,,,,
2020-10-23 18:00:00,,,,,,,,,,,
2020-10-23 19:00:00,22.0,-0.7,22.0,,,,,,,,
2020-10-23 20:00:00,22.0,-0.7,22.0,,,330.0,7.6,,,,
2020-10-23 21:00:00,23.0,-1.9,19.0,,,330.0,7.6,,,,
2020-10-23 22:00:00,25.0,-1.8,17.0,,,0.0,0.0,,,,
2020-10-23 23:00:00,25.0,-1.0,18.0,,,240.0,5.4,,,,
2020-10-24 00:00:00,24.0,-1.1,19.0,,,0.0,0.0,,,,
2020-10-24 01:00:00,22.0,-2.0,20.0,,,0.0,0.0,,,,
2020-10-24 02:00:00,18.0,-0.8,28.0,,,0.0,0.0,,,,
2020-10-24 03:00:00,11.0,2.0,54.0,,,80.0,7.6,,,,
2020-10-24 04:00:00,11.0,0.1,47.0,,,0.0,0.0,,,,
2020-10-24 05:00:00,11.0,2.0,54.0,,,110.0,11.2,,,,
2020-10-24 06:00:00,10.0,3.1,62.0,,,100.0,7.6,,,,
2020-10-24 07:00:00,11.0,4.0,62.0,,,0.0,0.0,,,,
2020-10-24 08:00:00,11.0,4.0,62.0,,,120.0,5.4,,,,
2020-10-24 09:00:00,10.0,3.1,62.0,,,120.0,7.6,,,,
2020-10-24 10:00:00,13.0,3.1,51.0,,,130.0,7.6,,,,
2020-10-24 11:00:00,11.0,3.0,58.0,,,120.0,9.4,,,,
2020-10-24 12:00:00,9.0,3.0,66.0,,,130.0,7.6,,,,
2020-10-24 13:00:00,9.0,3.0,66.0,,,0.0,0.0,,,,
2020-10-24 14:00:00,9.0,3.0,66.0,,,0.0,0.0,,,,
2020-10-24 15:00:00,6.0,2.1,76.0,,,0.0,0.0,,,,
2020-10-24 16:00:00,15.0,6.0,55.0,,,140.0,11.2,,,,
2020-10-24 17:00:00,16.0,9.0,63.0,,,140.0,14.8,,,,
2020-10-24 18:00:00,18.0,10.1,60.0,,,140.0,13.0,,,,
2020-10-24 19:00:00,20.0,10.1,53.0,,,150.0,14.8,,,,
2020-10-24 20:00:00,21.0,9.9,49.0,,,150.0,14.8,,,,
2020-10-24 21:00:00,22.0,8.1,41.0,,,190.0,9.4,,,,
2020-10-24 22:00:00,22.0,8.1,41.0,,,210.0,9.4,,,,
2020-10-24 23:00:00,23.0,7.1,36.0,,,230.0,11.2,,,,
2020-10-25 00:00:00,22.0,7.0,38.0,,,190.0,7.6,,,,
2020-10-25 01:00:00,20.0,8.0,46.0,,,200.0,11.2,,,,
2020-10-25 02:00:00,16.0,8.0,59.0,,,170.0,13.0,,,,
2020-10-25 03:00:00,15.0,8.0,63.0,,,160.0,9.4,,,,
2020-10-25 04:00:00,15.0,10.0,72.0,,,140.0,13.0,,,,
2020-10-25 05:00:00,15.0,8.9,67.0,,,130.0,9.4,,,,
2020-10-25 06:00:00,14.0,10.0,77.0,,,110.0,11.2,,,,
2020-10-25 07:00:00,13.0,9.1,77.0,,,120.0,11.2,,,,
2020-10-25 08:00:00,13.0,9.1,77.0,,,140.0,9.4,,,,
2020-10-25 09:00:00,13.0,10.0,82.0,,,150.0,18.4,,,,
2020-10-25 10:00:00,12.0,10.1,88.0,,,140.0,14.8,,,,
2020-10-25 11:00:00,12.0,10.1,88.0,,,150.0,14.8,,,,
2020-10-25 12:00:00,12.0,10.1,88.0,,,140.0,14.8,,,,
2020-10-25 13:00:00,12.0,10.1,88.0,,,150.0,16.6,,,,
2020-10-25 14:00:00,11.0,10.1,94.0,,,130.0,9.4,,,,
2020-10-25 15:00:00,11.0,10.1,94.0,,,110.0,11.2,,,,
2020-10-25 16:00:00,13.0,10.0,82.0,,,80.0,7.6,,,,
2020-10-25 17:00:00,14.0,10.0,77.0,,,110.0,5.4,,,,
2020-10-25 18:00:00,16.0,9.0,63.0,,,360.0,7.6,,,,
2020-10-25 19:00:00,18.0,8.0,52.0,,,340.0,22.3,,,,
2020-10-25 20:00:00,18.0,9.1,56.0,,,330.0,18.4,,,,
2020-10-25 21:00:00,20.0,1.9,30.0,,,330.0,27.7,,,,
2020-10-25 22:00:00,20.0,-1.2,24.0,,,310.0,22.3,,,,
2020-10-25 23:00:00,21.0,-5.0,17.0,,,320.0,24.1,,,,
2020-10-26 00:00:00,20.0,-5.8,17.0,,,320.0,33.5,,,,
2020-10-26 01:00:00,18.0,-8.2,16.0,,,320.0,31.7,,,,
2020-10-26 02:00:00,18.0,-20.2,6.0,,,350.0,38.9,,,,
2020-10-26 03:00:00,17.0,-17.6,8.0,,,360.0,27.7,,,,
2020-10-26 04:00:00,16.0,-18.3,8.0,,,20.0,18.4,,,,
2020-10-26 05:00:00,14.0,-17.2,10.0,,,340.0,20.5,,,,
2020-10-26 06:00:00,12.0,-16.6,12.0,,,350.0,20.5,,,,
2020-10-26 07:00:00,12.0,-16.6,12.0,,,350.0,16.6,,,,
2020-10-26 08:00:00,10.0,-10.8,22.0,,,340.0,18.4,,,,
2020-10-26 09:00:00,9.0,-10.0,25.0,,,350.0,18.4,,,,
2020-10-26 10:00:00,10.0,-12.0,20.0,,,340.0,22.3,,,,
2020-10-26 11:00:00,10.0,-10.8,22.0,,,350.0,24.1,,,,
2020-10-26 12:00:00,8.0,-10.9,25.0,,,350.0,25.9,,,,
2020-10-26 13:00:00,8.0,-9.9,27.0,,,340.0,29.5,,,,
