time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-09-23 03:00:00,19.0,7.1,46.0,,,130.0,9.4,,,,
2019-09-23 04:00:00,19.0,7.1,46.0,,,140.0,9.4,,,,
2019-09-23 05:00:00,18.0,7.1,49.0,,,120.0,9.4,,,,
2019-09-23 06:00:00,18.0,7.1,49.0,,,,7.6,,,,
2019-09-23 07:00:00,18.0,5.9,45.0,,,110.0,11.2,,,,
2019-09-23 08:00:00,18.0,7.1,49.0,,,110.0,13.0,,,,
2019-09-23 09:00:00,17.0,7.1,52.0,,,110.0,11.2,,,,
2019-09-23 10:00:00,16.0,7.0,55.0,,,120.0,7.6,,,,
2019-09-23 11:00:00,17.0,5.0,45.0,,,100.0,11.2,,,,
2019-09-23 12:00:00,17.0,5.0,45.0,,,110.0,9.4,,,,
2019-09-23 13:00:00,17.0,5.0,45.0,,,100.0,11.2,,,,
2019-09-23 14:00:00,17.0,5.0,45.0,,,90.0,9.4,,,,
2019-09-23 15:00:00,16.0,5.9,51.0,,,,0.0,,,,
2019-09-23 16:00:00,20.0,6.0,40.0,,,,0.0,,,,
2019-09-23 17:00:00,21.0,6.1,38.0,,,,0.0,,,,
2019-09-23 18:00:00,22.0,7.0,38.0,,,310.0,7.6,,,,
2019-09-23 19:00:00,23.0,7.1,36.0,,,,9.4,,,,
2019-09-23 20:00:00,24.0,8.0,36.0,,,310.0,14.8,,,,
2019-09-23 21:00:00,25.0,7.2,32.0,,,,11.2,,,,
2019-09-23 22:00:00,25.0,7.2,32.0,,,280.0,16.6,,,,
2019-09-23 23:00:00,26.0,7.1,30.0,,,270.0,18.4,,,,
2019-09-24 00:00:00,25.0,7.2,32.0,,,280.0,16.6,,,,
2019-09-24 01:00:00,25.0,7.2,32.0,,,300.0,11.2,,,,
2019-09-24 02:00:00,23.0,7.1,36.0,,,,11.2,,,,
2019-09-24 03:00:00,21.0,6.1,38.0,,,60.0,7.6,,,,
2019-09-24 04:00:00,22.0,4.1,31.0,,,70.0,14.8,,,,
2019-09-24 05:00:00,22.0,2.1,27.0,,,70.0,16.6,,,,
2019-09-24 06:00:00,21.0,1.8,28.0,,,,0.0,,,,
2019-09-24 07:00:00,21.0,1.8,28.0,,,70.0,11.2,,,,
2019-09-24 08:00:00,22.0,1.1,25.0,,,,9.4,,,,
2019-09-24 09:00:00,22.0,1.1,25.0,,,90.0,16.6,,,,
2019-09-24 10:00:00,22.0,1.1,25.0,,,80.0,18.4,,,,
2019-09-24 11:00:00,22.0,1.1,25.0,,,90.0,18.4,,,,
2019-09-24 12:00:00,22.0,1.1,25.0,,,90.0,18.4,,,,
2019-09-24 13:00:00,22.0,-0.1,23.0,,,90.0,14.8,,,,
2019-09-24 14:00:00,21.0,0.8,26.0,,,80.0,16.6,,,,
2019-09-24 15:00:00,22.0,2.1,27.0,,,80.0,18.4,,,,
2019-09-24 16:00:00,23.0,5.0,31.0,,,,7.6,,,,
2019-09-24 17:00:00,26.0,5.0,26.0,,,,0.0,,,,
2019-09-24 18:00:00,28.0,2.2,19.0,,,60.0,13.0,,,,
2019-09-24 19:00:00,28.0,4.9,23.0,,,310.0,11.2,,,,
2019-09-24 20:00:00,29.0,3.8,20.0,,,300.0,9.4,,,,
2019-09-24 21:00:00,31.0,3.9,18.0,,,,9.4,,,,
2019-09-24 22:00:00,31.0,4.7,19.0,,,310.0,9.4,,,,
2019-09-24 23:00:00,31.0,3.9,18.0,,,300.0,11.2,,,,
2019-09-25 00:00:00,32.0,6.2,20.0,,,270.0,13.0,,,,
2019-09-25 01:00:00,30.0,9.0,27.0,,,300.0,9.4,,,,
2019-09-25 02:00:00,28.0,8.8,30.0,,,,0.0,,,,
2019-09-25 03:00:00,25.0,8.9,36.0,,,,0.0,,,,
2019-09-25 04:00:00,28.0,4.9,23.0,,,90.0,16.6,,,,
2019-09-25 05:00:00,27.0,4.1,23.0,,,,0.0,,,,
2019-09-25 06:00:00,26.0,3.9,24.0,,,,0.0,,,,
2019-09-25 07:00:00,26.0,3.9,24.0,,,,0.0,,,,
2019-09-25 08:00:00,26.0,3.9,24.0,,,100.0,14.8,,,,
2019-09-25 09:00:00,26.0,5.0,26.0,,,,7.6,,,,
